ds,yhat
1985-01-01,-0.2952683923
1986-01-01,-0.24828957178399322
1987-01-01,-0.2013107531799387
1988-01-01,-0.1543319354886822
1989-01-01,-0.10722440870786062
1990-01-01,-0.06024558879891594
1991-01-01,-0.013266765579287151
1992-01-01,0.0337120949357094
1993-01-01,0.0808300135751073
1994-01-01,0.12781919473188377
1995-01-01,0.17495362867005948
1996-01-01,0.22230173388242086
1997-01-01,0.2701552013656352
1998-01-01,0.37468093602194114
1999-01-01,0.4792066706782474
2000-01-01,1.0690979866565147
2001-01-01,1.6611158932286594
2002-01-01,2.252249434041761
2003-01-01,2.8435920878612455
2004-01-01,3.4349347416807303
2005-01-01,4.0288432882398135
2006-01-01,6.0642775112740965
2007-01-01,8.236877840258236
2008-01-01,10.40987287550256
2009-01-01,12.588821321802351
2010-01-01,14.76181768269017
2011-01-01,16.934814041361953
2012-01-01,19.10781040190629
2013-01-01,21.286760174226167
2014-01-01,23.459756531867583
2015-01-01,24.988670241815228
2016-01-01,26.517294504722372
2017-01-01,28.050106769432272
2018-01-01,29.578731022489936
2019-01-01,31.10735527554761
2020-01-01,32.63597952860529
2021-01-01,34.16879179331518
2022-01-01,35.69741604637285
2023-01-01,37.22604029943053
2024-01-01,38.75466455248821
2024-12-31,40.28328880554587
2025-12-31,41.811913058603544
2026-12-31,43.340537311661244
2027-12-31,44.86916156471891
2028-12-31,46.40197382942879
2029-12-31,47.93059808248647
2030-12-31,49.45922233554414
2031-12-31,50.987846588601805
2032-12-31,52.5206588533117
2033-12-31,54.04928310636939
