ds,yhat
1985-01-01,3.31315712
1986-01-01,3.828704063169054
1987-01-01,4.3442510064266635
1988-01-01,4.85979795035536
1989-01-01,5.376757351664683
1990-01-01,5.892304296683887
1991-01-01,6.4078515193558605
1992-01-01,6.923715868849232
1993-01-01,7.441380296124569
1994-01-01,7.9576303397188255
1995-01-01,8.921834213136165
1996-01-01,9.886241886315052
1997-01-01,10.85388216018049
1998-01-01,11.81887863506219
1999-01-01,12.783875109943892
2000-01-01,13.748871584105654
2001-01-01,14.716511883338061
2002-01-01,15.681508357331186
2003-01-01,16.64650483009352
2004-01-01,17.611501302855856
2005-01-01,18.57914160076579
2006-01-01,19.544138073161893
2007-01-01,20.509663765869064
2008-01-01,22.104612919331636
2009-01-01,23.70393179650233
2010-01-01,25.58658374889779
2011-01-01,27.469235701500715
2012-01-01,29.351887653774455
2013-01-01,31.23969755514446
2014-01-01,33.12234950596427
2015-01-01,35.00499103703299
2016-01-01,36.88763256738808
2017-01-01,38.77543201712599
2018-01-01,40.65807354487008
2019-01-01,42.54071507261417
2020-01-01,44.42335660035827
2021-01-01,46.311156050096166
2022-01-01,48.19379757784026
2023-01-01,50.07643910558434
2024-01-01,51.95908063332843
2024-12-31,53.84172216107252
2025-12-31,55.72436368881661
2026-12-31,57.60700521656071
2027-12-31,59.48964674430479
2028-12-31,61.37744619404269
2029-12-31,63.26008772178678
2030-12-31,65.14272924953087
2031-12-31,67.02537077727494
2032-12-31,68.91317022701287
2033-12-31,70.79581175475695
