ds,yhat
1985-01-01,52.4190216
1986-01-01,54.411189905686605
1987-01-01,56.403358222744345
1988-01-01,58.39552655303404
1989-01-01,60.393152878749156
1990-01-01,62.38532120031162
1991-01-01,64.37748951721457
1992-01-01,66.36965781821212
1993-01-01,68.36728412001226
1994-01-01,70.3594524264523
1995-01-01,72.35162074291394
1996-01-01,74.34378906504935
1997-01-01,76.34141538694011
1998-01-01,78.33358372694673
1999-01-01,80.32575206695334
2000-01-01,82.31793295666724
2001-01-01,84.31806832697833
2002-01-01,86.31554673327796
2003-01-01,90.02366421287158
2004-01-01,93.73178169246523
2005-01-01,97.45005840299717
2006-01-01,101.15817587768649
2007-01-01,104.86629335137185
2008-01-01,108.57441080964387
2009-01-01,112.29268749382895
2010-01-01,116.0008049343181
2011-01-01,119.70890774817076
2012-01-01,123.4170105482722
2013-01-01,127.13527214531656
2014-01-01,130.84337455766953
2015-01-01,134.55118978528108
2016-01-01,138.25900454181686
2017-01-01,141.9769776793877
2018-01-01,145.68479242040775
2019-01-01,149.39260716142783
2020-01-01,153.10042190244792
2021-01-01,156.81839504001871
2022-01-01,160.5262097810388
2023-01-01,164.2340245220589
2024-01-01,167.94183926307895
2024-12-31,171.649654004099
2025-12-31,175.3574687451191
2026-12-31,179.0652834861392
2027-12-31,182.77309822715927
2028-12-31,186.49107136473006
2029-12-31,190.19888610575015
2030-12-31,193.90670084677024
2031-12-31,197.61451558779027
2032-12-31,201.3324887253611
2033-12-31,205.0403034663812
