ds,yhat
1985-01-01,9.611722219999999
1986-01-01,10.562060840331368
1987-01-01,11.512399461708858
1988-01-01,12.462738081775816
1989-01-01,13.415680369295014
1990-01-01,14.366018989595021
1991-01-01,15.316357608827117
1992-01-01,16.266696228442978
1993-01-01,17.219686127794
1994-01-01,18.17007222960581
1995-01-01,19.120458334690863
1996-01-01,20.070844439992587
1997-01-01,21.023834342324008
1998-01-01,21.974220448634668
1999-01-01,22.924606554945324
2000-01-01,23.874861854260804
2001-01-01,24.827228423240864
2002-01-01,25.776189609567766
2003-01-01,24.360640941605133
2004-01-01,22.94509227364251
2005-01-01,21.52565887217711
2006-01-01,20.110103171227497
2007-01-01,18.694547472047166
2008-01-01,17.278991771673166
2009-01-01,15.859557836503605
2010-01-01,14.444068107179042
2011-01-01,13.028868159114172
2012-01-01,12.11673631082113
2013-01-01,11.20229935890593
2014-01-01,10.29036086860799
2015-01-01,9.378546932196928
2016-01-01,8.466749305412367
2017-01-01,7.552454512670023
2018-01-01,6.640657793131893
2019-01-01,5.728861073593766
2020-01-01,4.817064354055636
2021-01-01,3.90276956131329
2022-01-01,2.9909728417751595
2023-01-01,2.0791761222370297
2024-01-01,1.1673794026988995
2024-12-31,0.25558268316076954
2025-12-31,-0.6562140363773605
2026-12-31,-1.5680107559154974
2027-12-31,-2.4798074754536206
2028-12-31,-3.3941022681959665
2029-12-31,-4.305898987734096
2030-12-31,-5.2176957072722265
2031-12-31,-6.12949242681035
2032-12-31,-7.043787219552702
2033-12-31,-7.9555839390908325
