ds,yhat
1985-01-01,-0.4997017536
1986-01-01,-0.38093714402123
1987-01-01,-0.26217253919137373
1988-01-01,-0.14340793055479925
1989-01-01,-0.024317939428809512
1990-01-01,0.09444667091072546
1991-01-01,0.21364020745557852
1992-01-01,0.3328408649619355
1993-01-01,0.4536177157920358
1994-01-01,0.5740645752264255
1995-01-01,0.6953800429972308
1996-01-01,0.8518340598455423
1997-01-01,1.0106771277738313
1998-01-01,1.1705908306509443
1999-01-01,1.330504533528057
2000-01-01,1.491819105263584
2001-01-01,1.6553731624313333
2002-01-01,2.5211461294236157
2003-01-01,3.3876401221728973
2004-01-01,4.254134114922188
2005-01-01,6.685909467514377
2006-01-01,9.112972883456049
2007-01-01,11.541210609997119
2008-01-01,13.970403779197156
2009-01-01,16.406252272148436
2010-01-01,19.980135163757886
2011-01-01,23.555780144066528
2012-01-01,27.131794312269726
2013-01-01,30.71944943212545
2014-01-01,34.297302215588154
2015-01-01,39.21306423948895
2016-01-01,44.12892454061179
2017-01-01,49.05825295659005
2018-01-01,53.97411326214212
2019-01-01,58.88997356769417
2020-01-01,63.80583387324627
2021-01-01,68.7351622892245
2022-01-01,73.65102259477656
2023-01-01,78.56688290032868
2024-01-01,83.48274320588074
2024-12-31,88.39860351143281
2025-12-31,93.31446381698488
2026-12-31,98.23032412253698
2027-12-31,103.14618442808904
2028-12-31,108.07551284406732
2029-12-31,112.99137314961938
2030-12-31,117.90723345517145
2031-12-31,122.82309376072351
2032-12-31,127.75242217670178
2033-12-31,132.66828248225386
