ds,yhat
1985-01-01,-8.308438578
1986-01-01,-4.026021566310868
1987-01-01,0.2563954449562793
1988-01-01,4.538812454801616
1989-01-01,8.832962113988994
1990-01-01,13.115399679532771
1991-01-01,17.397985079515966
1992-01-01,21.681472808242706
1993-01-01,25.97753017793767
1994-01-01,30.2618496859668
1995-01-01,34.54623455733029
1996-01-01,38.831388038330246
1997-01-01,43.128694579440044
1998-01-01,47.41426080209684
1999-01-01,51.69982702475367
2000-01-01,55.985393245054475
2001-01-01,60.2827007435528
2002-01-01,64.56826696683426
2003-01-01,68.85383319128465
2004-01-01,73.13939941573504
2005-01-01,77.4367069198574
2006-01-01,81.7222728827042
2007-01-01,86.00782855938442
2008-01-01,90.29334273813689
2009-01-01,94.5905980516257
2010-01-01,92.51786123785504
2011-01-01,90.44249705776448
2012-01-01,87.56548664919526
2013-01-01,84.67986889675916
2014-01-01,81.80213534583247
2015-01-01,78.92440178989558
2016-01-01,76.04666823757287
2017-01-01,73.16105048506891
2018-01-01,70.28331693407453
2019-01-01,67.40558338308016
2020-01-01,64.52784983208578
2021-01-01,61.64223207958184
2022-01-01,58.76449852858746
2023-01-01,55.88676497759308
2024-01-01,53.0090314265987
2024-12-31,50.131297875604325
2025-12-31,47.25356432460995
2026-12-31,44.37583077361557
2027-12-31,41.49809722262119
2028-12-31,38.61247947011724
2029-12-31,35.734745919122865
2030-12-31,32.857012368128494
2031-12-31,29.979278817134112
2032-12-31,27.09366106463014
2033-12-31,24.215927513635787
