ds,bioenergy,coal,gas,hydro,nuclear,oil,solar,wind,year,bioenergy_emission,solar_emission,wind_emission,hydro_emission,nuclear_emission,oil_emission,gas_emission,coal_emission,total_emission_MtCO2
1985-01-01,-0.2952683923,109.345847424,-8.308438578,52.4190216,3.31315712,9.61172222,-0.04871781242,-0.4997017536,1985,-0.011810735692000002,-0.0021923015589,-0.0054967192896,0.20967608640000002,0.03975788544,7.1126744428,-4.07113490322,89.66359488767999,92.93506864255949
1986-01-01,-0.2482895717839932,127.39472727033528,-4.026021566310868,54.411189905686605,3.828704063169054,10.562060840331368,-0.0473108217825596,-0.38093714402123,1986,-0.009931582871359727,-0.0021289869802151823,-0.00419030858423353,0.21764475962274643,0.04594444875802865,7.815925021845212,-1.9727505674923251,104.46367636167493,110.55418914597279
1987-01-01,-0.2013107531799387,145.44360712223246,0.2563954449562793,56.403358222744345,4.344251006426664,11.512399461708858,-0.0459038259996382,-0.2621725391913737,1987,-0.008052430127197549,-0.002065672169983719,-0.0028838979311051104,0.22561343289097738,0.052131012077119974,8.519175601664555,0.12563376802857687,119.26375784023061,128.17330965466354
1988-01-01,-0.1543319354886822,163.49248711002963,4.538812454801616,58.39552655303404,4.85979795035536,12.462738081775816,-0.0444968318252454,-0.1434079305547992,1988,-0.006173277419547289,-0.002002357432136043,-0.001577487236102791,0.23358210621213615,0.05831757540426432,9.222426180514104,2.2240181028527917,134.06383943022428,145.79243027311978
1989-01-01,-0.1072244087078606,181.5908160840948,8.832962113988994,60.39315287874916,5.376757351664683,13.415680369295014,-0.0430859828722925,-0.0243179394288095,1989,-0.004288976348314424,-0.0019388692292531622,-0.0002674973337169045,0.24157261151499665,0.0645210882199762,9.92760347327831,4.328151435854608,148.90446918895773,163.45982245491433
1990-01-01,-0.0602455887989159,199.6397020545223,13.115399679532771,62.38532120031162,5.892304296683887,14.36601898959502,-0.0416789923724008,0.0944466709107254,1990,-0.002409823551956636,-0.001875554656758036,0.0010389133800179794,0.2495412848012465,0.07070765156020666,10.630854052300315,6.426545842971058,163.70455568470828,181.07895805151242
1991-01-01,-0.0132667655792871,217.70397853015425,17.397985079515966,64.37748951721457,6.4078515193558605,15.316357608827117,-0.040271999027699,0.2136402074555785,1991,-0.000530670623171484,-0.0018122399562464548,0.002350042282011363,0.2575099580688583,0.07689421823227033,11.334104630532066,8.525012688962823,178.51726239472646,198.71079102222507
1992-01-01,0.0337120949357094,235.77920448240025,21.681472808242702,66.36965781821212,6.923715868849232,16.266696228442978,-0.0388650086790782,0.3328408649619355,1992,0.0013484837974283759,-0.001748925390558519,0.00366124951458129,0.2654786312728485,0.08308459042619079,12.037355209047803,10.623921676038924,193.3389476755682,216.35204859027542
1993-01-01,0.0808300135751073,253.9254207410623,25.97753017793767,68.36728412001226,7.441380296124569,17.219686127794,-0.0374541632575216,0.4536177157920358,1993,0.003233200543004292,-0.001685437346588472,0.004989794873712394,0.27346913648004906,0.08929656355349483,12.742567734567558,12.728989787189457,208.2188450076711,234.05970578753178
1994-01-01,0.1278191947318837,272.0220571738811,30.2618496859668,70.3594524264523,7.9576303397188255,18.17007222960581,-0.0360471726048764,0.5740645752264255,1994,0.005112767789275348,-0.001622122767219438,0.00631471032749068,0.28143780970580917,0.0954915640766259,13.4458534499083,14.828306346123732,223.05808688258247,251.7189814077465
1995-01-01,0.1749536286700594,290.1396513085796,34.54623455733029,72.35162074291394,8.921834213136165,19.120458334690863,-0.0346401801467043,0.6953800429972308,1995,0.006998145146802376,-0.0015588081066016935,0.007649180472969538,0.2894064829716558,0.10706201055763398,14.149139167671239,16.92765493309184,237.91451407303524,269.40086518484077
1996-01-01,0.2223017338824208,308.28542036205084,38.831388038330246,74.34378906504935,9.886241886315052,20.070844439992587,-0.0332331835167439,0.8518340598455423,1996,0.008892069355296833,-0.0014954932582534753,0.009370174658300964,0.2973751562601974,0.11863490263578062,14.852424885594514,19.02738013878182,252.79404469688168,287.10662653090935
1997-01-01,0.2701552013656352,327.5400835392647,43.12869457944005,76.34141538694011,10.85388216018049,21.023834342324008,-0.0318223304400708,1.0106771277738311,1997,0.010806208054625408,-0.001432004869803186,0.011117448405512141,0.30536566154776046,0.13024658592216587,15.557637413319766,21.133060343925624,268.582868502197,305.7296701585027
1998-01-01,0.3746809360219411,346.7599434230765,47.41426080209684,78.33358372694673,11.81887863506219,21.974220448634668,-0.0304153312533517,1.1705908306509445,1998,0.014987237440877644,-0.0013686899064008265,0.012876499137160389,0.3133343349077869,0.1418265436207463,16.260923131989653,23.23298779302745,284.3431536069227,324.31872045714
1999-01-01,0.4792066706782474,365.97980330688847,51.69982702475367,80.32575206695334,12.783875109943892,22.924606554945324,-0.0290083320666327,1.330504533528057,1999,0.019168266827129896,-0.0013053749429984714,0.014635549868808625,0.3213030082678134,0.1534065013193267,16.96420885065954,25.332915242129296,300.10343871164855,342.90777075577745
2000-01-01,1.069097986656515,385.20820816008,55.98539324505448,82.31793295666724,13.748871584105654,23.874861854260804,-0.0276013359639003,1.491819105263584,2000,0.0427639194662606,-0.0012420601183755135,0.016410010157899425,0.32927173182666897,0.16498645900926784,17.667397772152995,27.432842690076697,315.8707306912656,361.523161213837
2001-01-01,1.6611158932286594,404.4925364217019,60.2827007435528,84.31806832697833,14.71651188333806,24.827228423240864,-0.0261904774884152,1.6553731624313333,2001,0.06644463572914637,-0.001178571486978684,0.018209104786744666,0.3372722733079133,0.1765981426000567,18.37214903319824,29.538523364340872,331.6838798657956,380.19189784827154
